Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARZ,30,28,12,9,11,37,18,16,21,53,46,59,25,,24,38,14,38
ATL,53,49,34,34,54,52,47,38,41,47,,39,19,55,45,57,39,32
BLT,79,38,81,46,50,67,68,84,65,54,46,43,,83,55,42,46,58
BUF,57,86,81,60,73,81,71,89,53,76,65,52,,49,62,57,78,52
CAR,47,40,33,42,36,17,,56,58,41,25,39,49,33,55,50,31,56
CHI,55,54,17,44,51,48,56,24,38,59,41,40,,49,27,62,61,47
CIN,54,62,89,71,89,72,,50,47,84,54,66,63,86,74,58,42,62
CLV,46,50,71,54,,50,74,57,79,46,58,56,77,63,73,72,51,38
DAL,67,57,88,71,48,49,,87,43,74,75,81,71,52,38,44,74,75
DEN,66,68,29,56,41,25,64,33,,24,57,44,62,33,50,56,41,58
DET,21,51,66,53,64,59,32,62,,29,59,60,43,51,50,45,26,53
GB,45,51,44,47,47,,36,46,65,31,31,40,23,40,60,50,39,53
HST,21,56,30,33,46,39,,44,55,16,54,37,38,19,37,28,45,48
IND,35,44,19,57,43,27,26,36,42,33,,52,35,14,30,43,47,52
JAX,65,33,70,66,27,73,47,41,,41,62,63,37,37,45,64,69,54
KC,79,67,83,55,71,75,63,67,53,,57,78,77,51,69,85,58,55
LAC,49,66,62,78,,51,37,76,46,71,69,57,60,67,70,43,59,45
LAR,26,20,11,43,16,63,27,13,35,,33,41,23,17,46,33,29,14
LV,34,14,37,22,53,44,44,38,47,30,19,22,,45,30,15,53,42
MIA,51,65,71,40,76,83,45,72,47,,81,51,76,78,59,56,54,48
MIN,68,25,38,58,29,52,37,54,59,52,43,60,,55,26,55,61,47
NE,34,35,32,29,53,56,29,28,66,67,,49,40,39,31,44,22,40
NO,61,60,56,69,47,61,53,64,62,48,,61,57,67,58,67,62,68
NYG,33,72,28,50,24,19,63,36,53,26,56,51,,60,42,23,71,31
NYJ,43,43,68,45,59,48,,64,54,70,35,49,81,81,41,79,49,60
PHI,66,75,80,84,84,52,55,77,57,,43,48,59,48,66,77,86,69
PIT,46,50,63,67,50,,73,59,67,69,42,34,75,61,70,42,53,42
SEA,74,49,67,50,,28,82,43,35,67,67,39,29,32,34,53,47,62
SF,54,80,72,91,52,50,63,50,,59,82,61,41,68,76,58,73,86
TB,32,46,20,31,,41,53,11,45,44,18,48,51,45,40,36,38,44
TEN,39,34,29,29,57,33,,62,33,56,38,61,65,22,63,47,55,46
WAS,70,32,19,16,49,48,37,23,34,33,44,19,24,,54,21,27,25