score,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
980,BLT,NYG,DAL,SF,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
980,BLT,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,KC
980,WAS,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,CIN,MIA,KC
980,KC,BUF,CIN,SF,PHI,JAX,SEA,BLT,CLV,LAC,MIA,DAL
978,BLT,NYG,DAL,LAC,PHI,MIA,SEA,BUF,CLV,CIN,SF,KC
978,WAS,BUF,DAL,SF,PHI,MIA,SEA,BLT,CLV,CIN,LAC,KC
978,BLT,NYG,DAL,SF,PHI,MIA,SEA,BUF,CLV,CIN,LAC,KC
978,WAS,BUF,DAL,LAC,PHI,MIA,SEA,BLT,CLV,CIN,SF,KC
977,KC,BUF,CIN,LAC,PHI,MIA,SEA,BLT,CLV,NYJ,SF,DAL
977,BLT,BUF,CIN,LAC,PHI,MIA,SEA,DAL,CLV,NYJ,SF,KC
977,BLT,BUF,CIN,SF,PHI,MIA,SEA,DAL,CLV,NYJ,LAC,KC
976,BLT,NYG,DAL,PHI,CIN,MIA,SEA,BUF,CLV,LAC,SF,KC
976,WAS,BUF,DAL,PHI,CIN,MIA,SEA,BLT,CLV,LAC,SF,KC
975,BLT,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,KC
975,BLT,SF,DAL,LAC,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
975,SEA,BUF,DAL,SF,PHI,JAX,PIT,BLT,CLV,CIN,MIA,KC
974,BLT,NYG,CIN,SF,PHI,BUF,SEA,DAL,CLV,LAC,MIA,KC
974,WAS,NYG,DAL,SF,PHI,BUF,SEA,BLT,CLV,CIN,MIA,KC
973,BLT,NYG,CIN,SF,PHI,KC,SEA,BUF,CLV,LAC,MIA,DAL
973,BLT,BUF,CIN,SF,PHI,KC,SEA,LAC,CLV,NYJ,MIA,DAL
972,BLT,PHI,DAL,SF,CIN,MIA,SEA,BUF,CLV,NYJ,LAC,KC
972,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,LAC,DAL,KC
972,BLT,BUF,JAX,SF,PHI,MIA,SEA,DAL,CLV,CIN,LAC,KC
972,BLT,PHI,DAL,LAC,CIN,MIA,SEA,BUF,CLV,NYJ,SF,KC
971,KC,NYG,CIN,SF,PHI,JAX,SEA,BLT,CLV,BUF,MIA,DAL
971,BLT,NYG,CIN,SF,PHI,JAX,SEA,DAL,CLV,BUF,MIA,KC
970,BLT,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,LAC,SF,KC
969,WAS,BUF,DAL,SF,CIN,MIA,SEA,BLT,CLV,NYJ,LAC,KC
969,WAS,PHI,DAL,SF,CIN,BUF,SEA,BLT,CLV,LAC,MIA,KC
969,KC,NYG,CIN,LAC,PHI,MIA,SEA,BLT,CLV,BUF,SF,DAL
969,BLT,NYG,CIN,SF,PHI,MIA,SEA,DAL,CLV,BUF,LAC,KC
969,BLT,NYG,CIN,LAC,PHI,MIA,SEA,DAL,CLV,BUF,SF,KC
969,BLT,PHI,DAL,SF,CIN,BUF,SEA,LAC,CLV,NYJ,MIA,KC
968,BLT,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
968,KC,SF,CIN,LAC,PHI,BUF,SEA,BLT,CLV,NYJ,MIA,DAL
968,KC,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
967,SEA,BUF,DAL,SF,CIN,JAX,PIT,BLT,CLV,LAC,MIA,KC
967,SEA,BUF,CIN,SF,PHI,MIA,PIT,BLT,CLV,LAC,DAL,KC
966,BLT,BUF,CIN,PHI,MIA,JAX,SEA,DAL,CLV,LAC,SF,KC
966,BLT,NYG,DAL,PHI,MIA,JAX,SEA,BUF,CLV,CIN,SF,KC
965,KC,SF,CIN,LAC,PHI,JAX,SEA,BUF,CLV,NYJ,MIA,DAL
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,NO
964,WAS,PHI,DAL,SF,CIN,MIA,SEA,BLT,CLV,BUF,LAC,KC
964,WAS,NYG,CIN,SF,PHI,KC,SEA,BLT,CLV,BUF,MIA,DAL
964,SEA,PHI,DAL,SF,CIN,BUF,PIT,BLT,CLV,LAC,MIA,KC
963,WAS,PHI,BLT,SF,CIN,MIA,SEA,BUF,CLV,LAC,DAL,KC
963,KC,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,NO
963,WAS,NYG,CIN,SF,PHI,MIA,SEA,BLT,CLV,BUF,DAL,KC
963,BLT,PHI,DAL,SF,MIA,JAX,SEA,BUF,CLV,CIN,LAC,KC
963,BLT,BUF,DAL,PHI,CIN,JAX,SEA,MIA,CLV,LAC,SF,KC
962,BLT,PHI,DAL,SF,CIN,MIA,PIT,BUF,CLV,LAC,SEA,KC
962,BLT,BUF,KC,SF,CIN,JAX,SEA,DAL,CLV,LAC,MIA,NO
962,WAS,PHI,BLT,SF,CIN,JAX,SEA,BUF,CLV,DAL,MIA,KC
961,SEA,PHI,DAL,SF,CIN,JAX,PIT,BLT,CLV,BUF,MIA,KC
961,SEA,BUF,DAL,PHI,MIA,JAX,PIT,BLT,CLV,CIN,SF,KC
961,BLT,PHI,DAL,LAC,DET,MIA,SEA,BUF,CLV,CIN,SF,KC
960,BLT,NYG,CIN,PHI,MIA,BUF,SEA,DAL,CLV,LAC,SF,KC
960,BLT,NYG,CIN,NO,PHI,MIA,SEA,BUF,CLV,LAC,SF,DAL
959,WAS,BUF,BLT,PHI,KC,MIA,SEA,LAC,CLV,CIN,SF,DAL
958,KC,NYG,CIN,SF,PHI,MIA,PIT,BUF,CLV,LAC,SEA,DAL
958,SEA,PHI,BLT,SF,CIN,MIA,PIT,BUF,CLV,LAC,DAL,KC
958,WAS,SF,CIN,LAC,PHI,MIA,SEA,BLT,CLV,BUF,DAL,KC
958,KC,PHI,DAL,SF,CIN,JAX,SEA,BLT,CLV,BUF,MIA,TEN
958,KC,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,TEN
958,BLT,PHI,JAX,LAC,CIN,MIA,SEA,DAL,CLV,BUF,SF,KC
956,BLT,PHI,KC,SF,CIN,JAX,SEA,DAL,CLV,BUF,MIA,TEN
956,BLT,PHI,KC,SF,CIN,JAX,SEA,DAL,CLV,BUF,MIA,NO
953,BLT,SF,CIN,LAC,PHI,MIA,PIT,DAL,CLV,BUF,SEA,KC
952,SEA,PHI,DAL,LAC,MIA,BUF,PIT,BLT,CLV,CIN,SF,KC
950,BLT,PHI,JAX,SF,CIN,LAR,SEA,BUF,CLV,DAL,MIA,KC
949,KC,BUF,CIN,PHI,MIA,JAX,SEA,DAL,CLV,LAC,SF,NO980,BLT,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,KC
980,BLT,NYG,DAL,SF,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
980,KC,BUF,CIN,SF,PHI,JAX,SEA,BLT,CLV,LAC,MIA,DAL
978,BLT,NYG,DAL,SF,PHI,MIA,SEA,BUF,CLV,CIN,LAC,KC
978,WAS,BUF,DAL,LAC,PHI,MIA,SEA,BLT,CLV,CIN,SF,KC
977,KC,BUF,CIN,SF,PHI,MIA,SEA,BLT,CLV,NYJ,LAC,DAL
977,KC,BUF,CIN,LAC,PHI,MIA,SEA,BLT,CLV,NYJ,SF,DAL
976,BLT,NYG,DAL,PHI,CIN,MIA,SEA,BUF,CLV,LAC,SF,KC
976,WAS,BUF,DAL,PHI,CIN,MIA,SEA,BLT,CLV,LAC,SF,KC
975,BLT,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,KC
975,BLT,SF,DAL,LAC,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
975,SEA,BUF,DAL,SF,PHI,JAX,PIT,BLT,CLV,CIN,MIA,KC
974,BLT,NYG,CIN,SF,PHI,BUF,SEA,DAL,CLV,LAC,MIA,KC
974,KC,NYG,CIN,SF,PHI,BUF,SEA,BLT,CLV,LAC,MIA,DAL
973,BLT,NYG,CIN,SF,PHI,KC,SEA,BUF,CLV,LAC,MIA,DAL
973,BLT,BUF,CIN,SF,PHI,KC,SEA,LAC,CLV,NYJ,MIA,DAL
972,BLT,PHI,DAL,LAC,CIN,MIA,SEA,BUF,CLV,NYJ,SF,KC
972,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,LAC,DAL,KC
972,BLT,BUF,JAX,LAC,PHI,MIA,SEA,DAL,CLV,CIN,SF,KC
972,BLT,PHI,DAL,SF,CIN,MIA,SEA,BUF,CLV,NYJ,LAC,KC
972,WAS,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,KC
970,BLT,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,LAC,SF,KC
969,WAS,PHI,DAL,SF,CIN,BUF,SEA,BLT,CLV,LAC,MIA,KC
969,BLT,NYG,CIN,SF,PHI,MIA,SEA,DAL,CLV,BUF,LAC,KC
969,WAS,BUF,DAL,SF,CIN,MIA,SEA,BLT,CLV,NYJ,LAC,KC
968,BLT,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
968,KC,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NYJ,LAC,DAL
967,BLT,BUF,DAL,PHI,MIA,JAX,SEA,LAC,CLV,CIN,SF,KC
967,SEA,BUF,DAL,SF,CIN,JAX,PIT,BLT,CLV,LAC,MIA,KC
967,BLT,BUF,CIN,SF,PHI,MIA,PIT,DAL,CLV,LAC,SEA,KC
967,BLT,SF,CIN,LAC,PHI,KC,SEA,BUF,CLV,NYJ,MIA,DAL
966,WAS,PHI,DAL,SF,CIN,JAX,SEA,BLT,CLV,BUF,MIA,KC
966,BLT,BUF,CIN,PHI,MIA,JAX,SEA,DAL,CLV,LAC,SF,KC
965,KC,SF,CIN,LAC,PHI,JAX,SEA,BUF,CLV,NYJ,MIA,DAL
964,BLT,BUF,PHI,LAC,MIA,JAX,SEA,DAL,CLV,CIN,SF,KC
964,SEA,PHI,DAL,SF,CIN,BUF,PIT,BLT,CLV,LAC,MIA,KC
964,WAS,PHI,DAL,LAC,CIN,MIA,SEA,BLT,CLV,BUF,SF,KC
963,BLT,PHI,DAL,SF,DET,JAX,SEA,BUF,CLV,CIN,MIA,KC
963,BLT,PHI,DAL,SF,MIA,JAX,SEA,BUF,CLV,CIN,LAC,KC
963,WAS,PHI,BLT,SF,CIN,MIA,SEA,BUF,CLV,LAC,DAL,KC
962,BLT,BUF,KC,SF,CIN,JAX,SEA,DAL,CLV,LAC,MIA,TEN
962,BLT,PHI,DAL,SF,CIN,MIA,PIT,BUF,CLV,LAC,SEA,KC
961,BLT,PHI,DAL,SF,DET,MIA,SEA,BUF,CLV,CIN,LAC,KC
961,SEA,PHI,DAL,SF,CIN,JAX,PIT,BLT,CLV,BUF,MIA,KC
960,BLT,NYG,CIN,NO,PHI,MIA,SEA,BUF,CLV,LAC,SF,DAL
960,WAS,NYG,DAL,PHI,MIA,BUF,SEA,BLT,CLV,CIN,SF,KC
959,SEA,PHI,DAL,SF,CIN,MIA,PIT,BLT,CLV,BUF,LAC,KC
958,BLT,PHI,JAX,LAC,CIN,MIA,SEA,DAL,CLV,BUF,SF,KC
956,BLT,PHI,KC,SF,CIN,JAX,SEA,DAL,CLV,BUF,MIA,NO
956,BLT,PHI,CIN,SF,MIA,BUF,SEA,DAL,CLV,NYJ,LAC,KC
953,WAS,BUF,KC,SF,CIN,JAX,SEA,BLT,CLV,DAL,MIA,NO
950,BLT,PHI,JAX,SF,CIN,LAR,SEA,DAL,CLV,BUF,MIA,KC
981,BLT,BUF,DAL,SF,PHI,JAX,SEA,LAC,CLV,CIN,MIA,KC
980,WAS,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,CIN,MIA,KC
980,BLT,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,KC
980,KC,BUF,CIN,SF,PHI,JAX,SEA,BLT,CLV,LAC,MIA,DAL
978,BLT,NYG,DAL,LAC,PHI,MIA,SEA,BUF,CLV,CIN,SF,KC
978,BLT,NYG,DAL,SF,PHI,MIA,SEA,BUF,CLV,CIN,LAC,KC
978,WAS,BUF,DAL,LAC,PHI,MIA,SEA,BLT,CLV,CIN,SF,KC
977,BLT,BUF,CIN,LAC,PHI,MIA,SEA,DAL,CLV,NYJ,SF,KC
977,KC,BUF,CIN,LAC,PHI,MIA,SEA,BLT,CLV,NYJ,SF,DAL
977,KC,BUF,CIN,SF,PHI,MIA,SEA,BLT,CLV,NYJ,LAC,DAL
977,BLT,BUF,CIN,SF,PHI,MIA,SEA,DAL,CLV,NYJ,LAC,KC
976,WAS,BUF,DAL,PHI,CIN,MIA,SEA,BLT,CLV,LAC,SF,KC
976,BLT,NYG,DAL,PHI,CIN,MIA,SEA,BUF,CLV,LAC,SF,KC
976,BLT,BUF,DAL,PHI,CIN,MIA,SEA,LAC,CLV,NYJ,SF,KC
975,BLT,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,KC
975,BLT,NYG,DAL,SF,PHI,BUF,SEA,LAC,CLV,CIN,MIA,KC
975,SEA,BUF,DAL,SF,PHI,JAX,PIT,BLT,CLV,CIN,MIA,KC
975,BLT,SF,DAL,LAC,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
974,BLT,NYG,CIN,SF,PHI,BUF,SEA,DAL,CLV,LAC,MIA,KC
974,WAS,NYG,DAL,SF,PHI,BUF,SEA,BLT,CLV,CIN,MIA,KC
973,BLT,NYG,CIN,SF,PHI,KC,SEA,BUF,CLV,LAC,MIA,DAL
972,BLT,PHI,DAL,SF,CIN,MIA,SEA,BUF,CLV,NYJ,LAC,KC
972,BLT,PHI,DAL,LAC,CIN,MIA,SEA,BUF,CLV,NYJ,SF,KC
972,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,LAC,DAL,KC
972,WAS,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,KC
971,BLT,NYG,CIN,SF,PHI,JAX,SEA,DAL,CLV,BUF,MIA,KC
971,KC,NYG,CIN,SF,PHI,JAX,SEA,BUF,CLV,LAC,MIA,DAL
970,BLT,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,LAC,SF,KC
969,BLT,NYG,CIN,LAC,PHI,MIA,SEA,DAL,CLV,BUF,SF,KC
969,WAS,PHI,DAL,SF,CIN,BUF,SEA,BLT,CLV,LAC,MIA,KC
969,WAS,SF,DAL,LAC,PHI,BUF,SEA,BLT,CLV,CIN,MIA,KC
969,BLT,PHI,DAL,SF,CIN,BUF,SEA,LAC,CLV,NYJ,MIA,KC
969,BLT,BUF,CIN,NO,PHI,MIA,SEA,DAL,CLV,LAC,SF,KC
968,BLT,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
968,SEA,BUF,CIN,SF,PHI,KC,PIT,BLT,CLV,LAC,MIA,DAL
968,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NYJ,LAC,DAL
968,KC,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NYJ,LAC,DAL
967,SEA,BUF,CIN,SF,PHI,MIA,PIT,BLT,CLV,LAC,DAL,KC
967,WAS,NYG,DAL,PHI,CIN,MIA,SEA,BLT,CLV,BUF,SF,KC
967,BLT,SF,CIN,LAC,PHI,KC,SEA,BUF,CLV,NYJ,MIA,DAL
966,KC,SF,CIN,LAC,PHI,JAX,SEA,BLT,CLV,BUF,MIA,DAL
966,WAS,PHI,DAL,SF,CIN,JAX,SEA,BLT,CLV,BUF,MIA,KC
966,BLT,BUF,CIN,PHI,MIA,JAX,SEA,DAL,CLV,LAC,SF,KC
964,WAS,PHI,BLT,SF,CIN,KC,SEA,BUF,CLV,LAC,MIA,DAL
964,BLT,BUF,PHI,LAC,MIA,JAX,SEA,DAL,CLV,CIN,SF,KC
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,NO
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,TEN
964,SEA,PHI,DAL,SF,CIN,BUF,PIT,BLT,CLV,LAC,MIA,KC
964,WAS,PHI,DAL,SF,CIN,MIA,SEA,BLT,CLV,BUF,LAC,KC
963,BLT,PHI,DAL,LAC,MIA,JAX,SEA,BUF,CLV,CIN,SF,KC
963,KC,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,TEN
962,BLT,PHI,DAL,SF,CIN,MIA,PIT,BUF,CLV,LAC,SEA,KC
961,BLT,PHI,DAL,SF,DET,MIA,SEA,BUF,CLV,CIN,LAC,KC
959,SEA,PHI,DAL,SF,CIN,MIA,PIT,BLT,CLV,BUF,LAC,KC
959,SEA,SF,BLT,LAC,PHI,KC,PIT,BUF,CLV,CIN,MIA,DAL
959,WAS,SF,CIN,LAC,PHI,KC,SEA,BLT,CLV,BUF,MIA,DAL
959,WAS,BUF,DAL,SF,CIN,MIA,PIT,BLT,CLV,LAC,SEA,KC
958,KC,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,NO
958,SEA,NYG,CIN,SF,PHI,MIA,PIT,BLT,CLV,BUF,DAL,KC
958,KC,BUF,DAL,PHI,MIA,JAX,SEA,BLT,CLV,CIN,SF,TEN
958,WAS,BUF,PHI,SF,MIA,JAX,SEA,BLT,CLV,CIN,DAL,KC
958,BLT,BUF,CIN,SF,PHI,MIA,PIT,LAC,CLV,NYJ,SEA,DAL
958,BLT,BUF,JAX,PHI,DET,MIA,SEA,DAL,CLV,CIN,SF,KC
958,BLT,PHI,JAX,SF,CIN,MIA,SEA,DAL,CLV,BUF,LAC,KC
958,KC,PHI,JAX,SF,CIN,MIA,SEA,BLT,CLV,BUF,LAC,DAL
957,WAS,PHI,DAL,SF,MIA,BUF,SEA,BLT,CLV,CIN,LAC,KC
957,WAS,PHI,DAL,SF,DET,BUF,SEA,BLT,CLV,CIN,MIA,KC
956,BLT,PHI,KC,SF,CIN,JAX,SEA,DAL,CLV,BUF,MIA,TEN
956,BLT,PHI,KC,SF,CIN,JAX,SEA,DAL,CLV,BUF,MIA,NO
955,SEA,PHI,BLT,LAC,CIN,MIA,PIT,BUF,CLV,DAL,SF,KC
953,KC,PHI,CIN,SF,MIA,JAX,SEA,BUF,CLV,NYJ,LAC,DAL
950,BLT,PHI,JAX,SF,CIN,LAR,SEA,BUF,CLV,DAL,MIA,KC
946,KC,PHI,DAL,SF,DET,JAX,SEA,BUF,CLV,CIN,MIA,TEN
937,BLT,PHI,CIN,SF,MIA,BUF,PIT,LAC,CLV,NYJ,SEA,DAL
981,BLT,BUF,DAL,SF,PHI,JAX,SEA,LAC,CLV,CIN,MIA,KC
980,BLT,NYG,DAL,SF,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
980,KC,BUF,CIN,SF,PHI,JAX,SEA,BLT,CLV,LAC,MIA,DAL
980,WAS,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,CIN,MIA,KC
980,BLT,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,KC
978,WAS,BUF,DAL,SF,PHI,MIA,SEA,BLT,CLV,CIN,LAC,KC
978,BLT,NYG,DAL,SF,PHI,MIA,SEA,BUF,CLV,CIN,LAC,KC
978,BLT,NYG,DAL,LAC,PHI,MIA,SEA,BUF,CLV,CIN,SF,KC
978,WAS,BUF,DAL,LAC,PHI,MIA,SEA,BLT,CLV,CIN,SF,KC
977,BLT,BUF,CIN,SF,PHI,MIA,SEA,DAL,CLV,NYJ,LAC,KC
977,KC,BUF,CIN,SF,PHI,MIA,SEA,BLT,CLV,NYJ,LAC,DAL
977,BLT,BUF,CIN,LAC,PHI,MIA,SEA,DAL,CLV,NYJ,SF,KC
976,WAS,BUF,DAL,PHI,CIN,MIA,SEA,BLT,CLV,LAC,SF,KC
976,BLT,NYG,DAL,PHI,CIN,MIA,SEA,BUF,CLV,LAC,SF,KC
975,BLT,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,KC
975,SEA,BUF,DAL,SF,PHI,JAX,PIT,BLT,CLV,CIN,MIA,KC
975,BLT,SF,DAL,LAC,PHI,JAX,SEA,BUF,CLV,CIN,MIA,KC
974,BLT,NYG,CIN,SF,PHI,BUF,SEA,DAL,CLV,LAC,MIA,KC
974,WAS,NYG,DAL,SF,PHI,BUF,SEA,BLT,CLV,CIN,MIA,KC
973,BLT,NYG,CIN,SF,PHI,KC,SEA,BUF,CLV,LAC,MIA,DAL
973,WAS,BUF,CIN,SF,PHI,KC,SEA,BLT,CLV,LAC,MIA,DAL
972,BLT,PHI,DAL,SF,CIN,MIA,SEA,BUF,CLV,NYJ,LAC,KC
972,BLT,PHI,DAL,LAC,CIN,MIA,SEA,BUF,CLV,NYJ,SF,KC
972,KC,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,CIN,MIA,NO
972,WAS,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,KC
972,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,LAC,DAL,KC
972,BLT,BUF,JAX,SF,PHI,MIA,SEA,DAL,CLV,CIN,LAC,KC
972,WAS,BUF,CIN,SF,PHI,MIA,SEA,BLT,CLV,LAC,DAL,KC
971,KC,NYG,CIN,SF,PHI,JAX,SEA,BUF,CLV,LAC,MIA,DAL
971,BLT,NYG,CIN,SF,PHI,JAX,SEA,DAL,CLV,BUF,MIA,KC
970,BLT,BUF,DAL,NO,PHI,MIA,SEA,LAC,CLV,CIN,SF,KC
970,BLT,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,LAC,SF,KC
970,KC,BUF,JAX,PHI,CIN,MIA,SEA,BLT,CLV,LAC,SF,DAL
969,WAS,PHI,DAL,SF,CIN,BUF,SEA,BLT,CLV,LAC,MIA,KC
969,BLT,BUF,CIN,NO,PHI,MIA,SEA,DAL,CLV,LAC,SF,KC
969,BLT,NYG,CIN,LAC,PHI,MIA,SEA,DAL,CLV,BUF,SF,KC
969,KC,NYG,CIN,LAC,PHI,MIA,SEA,BLT,CLV,BUF,SF,DAL
969,KC,BUF,CIN,NO,PHI,MIA,SEA,BLT,CLV,LAC,SF,DAL
969,WAS,BUF,DAL,SF,CIN,MIA,SEA,BLT,CLV,NYJ,LAC,KC
969,KC,NYG,CIN,SF,PHI,MIA,SEA,BLT,CLV,BUF,LAC,DAL
968,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NYJ,LAC,DAL
968,BLT,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
968,BLT,SF,CIN,LAC,PHI,BUF,SEA,DAL,CLV,NYJ,MIA,KC
968,KC,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
967,SEA,BUF,DAL,SF,CIN,JAX,PIT,BLT,CLV,LAC,MIA,KC
966,KC,SF,CIN,LAC,PHI,JAX,SEA,BLT,CLV,BUF,MIA,DAL
966,WAS,PHI,DAL,SF,CIN,JAX,SEA,BLT,CLV,BUF,MIA,KC
966,BLT,SF,CIN,LAC,PHI,JAX,SEA,DAL,CLV,BUF,MIA,KC
965,BLT,NYG,CIN,SF,PHI,BUF,SEA,LAC,CLV,NYJ,MIA,DAL
964,WAS,PHI,BLT,SF,CIN,KC,SEA,BUF,CLV,LAC,MIA,DAL
964,SEA,PHI,DAL,SF,CIN,BUF,PIT,BLT,CLV,LAC,MIA,KC
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,NO
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,TEN
964,BLT,PHI,DAL,NO,CIN,MIA,SEA,BUF,CLV,LAC,SF,KC
964,WAS,NYG,CIN,SF,PHI,KC,SEA,BLT,CLV,BUF,MIA,DAL
963,BLT,PHI,DAL,LAC,MIA,JAX,SEA,BUF,CLV,CIN,SF,KC
963,KC,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,TEN
963,WAS,PHI,BLT,SF,CIN,MIA,SEA,BUF,CLV,LAC,DAL,KC
962,BLT,PHI,DAL,SF,CIN,MIA,PIT,BUF,CLV,LAC,SEA,KC
962,BLT,BUF,KC,SF,CIN,JAX,SEA,DAL,CLV,LAC,MIA,TEN
962,BLT,SF,DAL,LAC,PHI,MIA,PIT,BUF,CLV,CIN,SEA,KC
961,BLT,PHI,DAL,LAC,DET,MIA,SEA,BUF,CLV,CIN,SF,KC
961,WAS,BUF,JAX,PHI,CIN,MIA,SEA,BLT,CLV,DAL,SF,KC
960,BLT,NYG,CIN,NO,PHI,MIA,SEA,BUF,CLV,LAC,SF,DAL
960,WAS,NYG,DAL,PHI,MIA,BUF,SEA,BLT,CLV,CIN,SF,KC
959,WAS,SF,CIN,LAC,PHI,KC,SEA,BLT,CLV,BUF,MIA,DAL
958,KC,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,TEN
958,KC,PHI,DAL,SF,CIN,JAX,SEA,BLT,CLV,BUF,MIA,NO
958,SEA,NYG,BLT,PHI,CIN,MIA,PIT,BUF,CLV,DAL,SF,KC
957,BLT,PHI,CIN,SF,MIA,JAX,SEA,BUF,CLV,LAC,DAL,KC
957,BLT,BUF,DAL,PHI,KC,MIA,SEA,LAC,CLV,CIN,SF,JAX
956,BLT,PHI,KC,SF,CIN,JAX,SEA,BUF,CLV,DAL,MIA,NO
954,BLT,PHI,CIN,SF,MIA,JAX,SEA,DAL,CLV,BUF,LAC,KC
951,WAS,PHI,CIN,SF,MIA,BUF,SEA,BLT,CLV,LAC,DAL,KC
951,BLT,NYG,CIN,PHI,MIA,BUF,SEA,LAC,CLV,NYJ,SF,DAL
