ARI,3,-3,-2.5,4.5,0,4.5,-10.5,3,5.5,-6,3.5,-,-1.5,2.5,-6.5,-1,1.5,-2
ATL,-3.5,9.5,2.5,-2.5,-3,-,3.5,-3.5,5.5,4.5,-1.5,0,4.5,1.5,7.5,-7.5,8.5,-1.5
BAL,-4.5,0,-7.5,-3.5,-5,-5.5,-10,-,-7,-3,-3.5,-3.5,-2.5,2.5,-3,-6.5,-3,-5.5
BUF,-7,-3,-7.5,-14,4.5,-2.5,-,-7,-6.5,-7,-6.5,-2,-7,4,-9.5,-3.5,-8.5,-6.5
CAR,-4,2,-4,4.5,-3,1,3,3.5,0,6,-1,4.5,-,-1.5,9.5,6.5,6,6.5
CHI,7.5,-3.5,7,-5.5,3.5,4.5,10,4,5.5,-,3.5,-3,1.5,9.5,1,5.5,-2,4
CIN,3.5,3.5,6,-2.5,6.5,-1,10,1,4.5,-,4.5,3,2.5,3.5,5.5,6.5,7.5,6.5
CLE,6,-13.5,-7,-1.5,-1.5,-4.5,-6.5,-4.5,-4.5,-2,-10,3.5,-,-2.5,-7,3.5,0,-6.5
DAL,7.5,3,-4.5,-4.5,-4.5,3.5,-,3,-3.5,-4.5,9.5,-4.5,3.5,2.5,0,-3.5,-1.5,0
DEN,-1.5,-1.5,-5.5,3.5,4,-3.5,6.5,-3,3.5,-5.5,-,-2.5,9.5,-7.5,-5.5,2.5,3,3
DET,7.5,10.5,7.5,5.5,8.5,1,12,1,-,7.5,10,3,4,7.5,6.5,7.5,9.5,3.5
GB,-3,-10.5,3,-6.5,-6.5,-4.5,-7,-3,4,-5,-2.5,-3.5,-,-9.5,3,-3.5,-6,-3.5
HOU,3,13.5,4,14,6,9.5,10.5,8.5,7.5,-,9.5,1,6.5,7,4.5,5.5,13.5,6
IND,2,3,3.5,3,5,-9.5,6,-3,-8.5,-7,6.5,3,-6.5,-,-4.5,1,-6,-1
JAX,-3,1.5,2.5,2.5,3,2.5,-,7.5,6.5,7,4,0,9.5,6.5,-4.5,1.5,5.5,1
KC,-6,0,-7.5,-8,-4.5,-6.5,-4.5,-10,-4,-7.5,-9.5,-,-9.5,-10.5,-6.5,-8.5,-7.5,-3
LV,4.5,5.5,0,4,-3.5,3.5,-3.5,-,1.5,7.5,-4.5,4.5,-2.5,10.5,6.5,-2.5,6,-1.5
LAC,-1.5,-3,7.5,-4,1.5,5.5,-,-2.5,-3,-3,-3,2.5,-2.5,-6,7,-5.5,-3,1.5
LAR,-7.5,-3,-1,-4.5,0,-3.5,-12,-8.5,-5.5,3,-,3.5,-9.5,-2.5,-4,-2.5,3,-3
MIA,3,3,0,-3,7.5,-2.5,-3.5,7,-7.5,3,-3,-4.5,-3.5,-,-6.5,3,3.5,-2.5
MIN,-3.5,3,-1.5,1.5,-8.5,-1,-,-3,7,3,2.5,6.5,-4,-3,-1,2.5,6,-4
NE,-3,-3.5,-1,3.5,-6,-3.5,-6.5,2.5,0,2,1.5,-1.5,7,-,4.5,3.5,-5.5,2.5
NO,3,-2,1,-5,-1,-,3.5,3,-5.5,3,-3,2,-3.5,-2.5,7.5,-3,-6,1.5
NYG,1.5,3.5,-2.5,5,4.5,3.5,-3,10,-1.5,-,10,-3,3.5,6,0,1.5,2,-1.5
NYJ,4,3.5,5.5,3.5,3,-,6.5,-1,8.5,7,3,-1,-1.5,2.5,6.5,-1.5,8.5,6.5
PHI,3.5,4,4.5,8,3,7.5,3.5,-1,3,5.5,3,3,1.5,-,-1.5,-1.5,3.5,0
PIT,7,-5.5,-6,6.5,-4,-1.5,-,4.5,-5.5,-7.5,3,-3,2.5,3,-3,8.5,0,5.5
SF,-7.5,-4,-3,-3.5,0,-,-6,-4,-5.5,-3,-4,-6.5,1.5,-3.5,-7.5,-1,-13.5,3
SEA,-2,-3.5,1.5,3.5,0,1.5,-3.5,-7.5,-,5,-3.5,-2.5,-1.5,-7,4,-5.5,-9.5,2
TB,-7.5,-9.5,1,-3.5,-7.5,-7.5,-10,-3,-,-6.5,-10,-3,-4.5,-4,-7.5,-6.5,-8.5,-6.5
TEN,-3,3.5,-3.5,-3.5,-3,2.5,4.5,3,5.5,-3,-9.5,1.5,-,-6.5,3,1,-3.5,-6
WAS,1.5,-3.5,7.5,2.5,1,6.5,7,3,-,6.5,1,2.5,2.5,-2.5,1.5,3.5,-3.5,1.5