score,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
13.92328653714315,WSH,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.892743042339408,WSH,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,BUF,NO,TEN,SEA,IND
13.885204517166354,WSH,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,TEN,BAL,IND
13.884845599920427,TEN,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,BAL,SEA,IND
13.87553904868051,TEN,DEN,LAC,PHI,MIN,GB,OAK,DAL,CIN,KC,NE,MIA,LAR,BUF,NO,BAL,TB,IND
13.87337303133003,WSH,LAR,LAC,PHI,NE,GB,OAK,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.867759803958608,TEN,LAR,LAC,PHI,NE,GB,OAK,DEN,CIN,KC,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.858587030961079,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,ARI,KC,BAL,MIA,LAR,BUF,NO,TEN,TB,IND
13.855434935683709,WSH,LAR,LAC,PHI,BUF,GB,OAK,DEN,CIN,KC,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.853627425754604,WSH,LAR,LAC,PHI,NE,GB,CIN,DEN,BUF,KC,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.852679018016202,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,ARI,KC,BAL,MIA,MIN,BUF,NO,TEN,SEA,IND
13.845140492843148,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,ARI,KC,NE,MIA,MIN,BUF,NO,TEN,BAL,IND
13.842829536526285,WSH,LAR,LAC,PHI,TB,GB,OAK,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.838554465359303,TEN,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,KC,TB,IND
13.835263085016214,TEN,SF,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,BAL,SEA,IND
13.826347153052524,WSH,DEN,LAC,PHI,TB,GB,OAK,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.82388808933275,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,ARI,KC,BUF,MIA,LAR,TEN,NO,BAL,TB,IND
13.820799715903298,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,BUF,KC,NE,MIA,MIN,TEN,NO,BAL,SEA,IND
13.814391789045565,WSH,DEN,MIN,PHI,NE,GB,CIN,DAL,LAC,KC,BAL,MIA,LAR,BUF,NO,TEN,TB,IND
13.813286116041832,TEN,LAR,LAC,PHI,KC,GB,DEN,DAL,CIN,NYG,NE,MIA,MIN,BUF,NO,BAL,TB,IND
13.80801097055556,TEN,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,KC,SEA,IND
13.798704419315644,TEN,DEN,LAC,PHI,MIN,GB,OAK,DAL,CIN,NYG,BAL,MIA,LAR,BUF,NO,KC,TB,IND
13.79320333306401,TEN,LAR,LAC,PIT,NE,GB,DEN,PHI,CIN,KC,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.786484616832483,WSH,LAR,LAC,PHI,KC,GB,DEN,DAL,CIN,NYG,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.781119534137607,WSH,LAR,LAC,PHI,KC,GB,CIN,DAL,ARI,NYG,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.780878464789112,WSH,LAR,LAC,PIT,BUF,GB,DEN,PHI,CIN,KC,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.780645695676402,WSH,DEN,LAC,PHI,BUF,GB,OAK,MIN,CIN,KC,BAL,MIA,LAR,DAL,NO,TEN,TB,IND
13.777112551283304,TEN,LAR,LAC,PHI,MIN,GB,OAK,DEN,CIN,KC,BUF,MIA,CLE,DAL,NO,BAL,TB,IND
13.773854959177232,TEN,DEN,LAC,PHI,MIN,GB,CIN,DAL,ARI,NYG,BAL,MIA,LAR,BUF,NO,KC,TB,IND
13.77266262954803,TEN,GB,LAC,PHI,SF,LAR,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,BAL,TB,IND
13.77183999982453,TEN,DEN,LAC,PHI,MIN,GB,CIN,DAL,KC,NYG,NE,MIA,LAR,BUF,NO,BAL,TB,IND
13.770950829884338,CIN,LAR,LAC,PHI,TB,GB,DEN,DAL,ARI,KC,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.761540877719922,TEN,LAR,LAC,PHI,NE,GB,OAK,DEN,CIN,NYG,BUF,MIA,MIN,DAL,NO,KC,TB,IND
13.760636358393146,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,BUF,KC,BAL,MIA,LAR,TEN,NO,SF,TB,IND
13.754843561334567,TEN,LAR,LAC,PHI,GB,IND,DEN,DAL,CIN,KC,NE,WSH,MIN,BUF,NO,BAL,TB,MIA
13.752108970960204,WSH,LAR,SEA,PHI,NE,GB,CIN,DEN,LAC,KC,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.751517753480206,TEN,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,KC,BUF,MIA,MIN,ARI,NO,BAL,TB,IND
13.747439032446605,WSH,LAR,SEA,PHI,TB,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,BUF,NO,TEN,ARI,IND
13.7445415019019,TEN,SF,LAC,PHI,TB,GB,DEN,MIN,CIN,KC,BUF,MIA,LAR,DAL,NO,BAL,SEA,IND
13.743965086538433,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,BUF,NYG,BAL,MIA,MIN,TEN,NO,KC,SEA,IND
13.738351859167015,TEN,LAR,LAC,PHI,TB,GB,CIN,DEN,BUF,NYG,BAL,MIA,MIN,DAL,NO,KC,SEA,IND
13.731183436745058,WSH,SF,LAC,PHI,BUF,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,LAR,NO,TEN,TB,IND
13.728832224470072,TEN,SF,LAC,PHI,TB,GB,DEN,DAL,CIN,NYG,BAL,MIA,LAR,BUF,NO,KC,SEA,IND
13.727200122249915,TEN,LAR,SEA,PHI,TB,GB,CIN,DAL,LAC,KC,NE,MIA,MIN,BUF,NO,BAL,ARI,IND
13.725982848944042,WSH,LAR,SEA,PHI,TB,GB,CIN,DEN,LAC,KC,BUF,MIA,MIN,DAL,NO,TEN,BAL,IND
13.717836523425385,WSH,LAR,MIN,PHI,TB,GB,CIN,DAL,LAC,KC,BAL,MIA,CLE,BUF,NO,TEN,SEA,IND
13.696146393005266,TEN,LAR,LAC,PIT,BUF,GB,DEN,PHI,CIN,NYG,BAL,MIA,MIN,DAL,NO,KC,TB,IND
13.69437661681927,WSH,LAR,SEA,PHI,KC,GB,CIN,DAL,LAC,NYG,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.688781513772584,WSH,LAR,LAC,PHI,GB,IND,OAK,DEN,CIN,KC,BAL,DAL,MIN,BUF,NO,TEN,TB,MIA
13.685184449946021,TEN,LAR,LAC,PHI,GB,IND,CIN,DEN,BUF,KC,NE,WSH,MIN,DAL,NO,BAL,TB,MIA
13.685164669345799,WSH,LAR,LAC,PHI,BUF,GB,CIN,NE,KC,NYG,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.682928886644337,WSH,DEN,LAC,PHI,MIN,LAR,CIN,DAL,GB,KC,BUF,MIA,CLE,TEN,NO,BAL,TB,IND
13.673120702154176,WSH,DEN,MIN,PHI,NE,GB,CIN,DAL,KC,NYG,BUF,MIA,LAR,TEN,NO,BAL,TB,IND
13.670893625044618,TEN,LAR,LAC,PHI,MIN,GB,OAK,DEN,CIN,NYG,BUF,MIA,CLE,DAL,NO,KC,TB,IND
13.668943902502129,WSH,DEN,MIN,LAC,TB,GB,OAK,PHI,CIN,KC,BUF,MIA,LAR,DAL,NO,TEN,BAL,IND
13.659423303907491,TEN,DEN,LAC,PHI,SF,GB,CIN,DAL,BUF,KC,NE,MIA,MIN,LAR,NO,BAL,TB,IND
13.654477031793053,WSH,LAR,LAC,PHI,MIN,GB,CIN,DAL,BUF,NYG,NE,MIA,CLE,TEN,NO,KC,TB,IND
13.65406444781952,TEN,LAR,SEA,PHI,KC,GB,CIN,DEN,LAC,NYG,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.648580824087622,TEN,LAR,LAC,PIT,TB,GB,CIN,PHI,BUF,NYG,BAL,MIA,MIN,DAL,NO,KC,SEA,IND
13.639880234390725,TEN,SF,LAC,PHI,NE,LAR,DEN,IND,CIN,NYG,BUF,MIA,MIN,DAL,NO,KC,TB,GB
13.637045774729586,TEN,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,NYG,BAL,MIA,CLE,BUF,NO,MIN,KC,IND
13.63595443108097,TEN,LAR,LAC,PHI,NE,GB,DEN,MIN,CIN,NYG,BUF,MIA,CLE,DAL,NO,KC,TB,IND
13.633889287233488,TEN,DEN,LAC,PHI,GB,LAR,CIN,MIN,ARI,KC,BUF,MIA,CLE,DAL,NO,BAL,TB,IND
13.629269491857734,TEN,DEN,LAC,PHI,GB,LAR,CIN,NE,KC,NYG,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.621869596136545,WSH,GB,LAC,PHI,TB,IND,CIN,DAL,ARI,KC,NE,MIA,MIN,TEN,NO,BAL,SEA,BUF
13.612851597984363,WSH,GB,LAC,PHI,MIN,IND,CIN,DEN,BUF,KC,NE,DAL,LAR,TEN,NO,BAL,TB,MIA
13.611578097918462,WSH,LAR,MIN,PHI,KC,GB,CIN,DAL,LAC,NYG,BUF,MIA,CLE,TEN,NO,BAL,TB,IND
13.611434115936964,TEN,SF,LAC,GB,MIN,LAR,DEN,PHI,CIN,KC,BUF,MIA,CLE,DAL,NO,BAL,TB,IND
13.609474414575185,WSH,DEN,LAC,PHI,MIN,GB,OAK,DAL,KC,NYG,BUF,MIA,CLE,TEN,NO,BAL,TB,IND
13.601906415005388,WSH,LAR,MIN,PHI,KC,GB,CIN,DEN,LAC,NYG,BUF,MIA,CLE,DAL,NO,BAL,TB,IND
13.59633715415002,TEN,LAR,LAC,PIT,MIN,GB,DEN,PHI,CIN,NYG,BUF,MIA,CLE,DAL,NO,KC,TB,IND
13.589148667044249,TEN,GB,LAC,PHI,MIN,IND,CIN,DEN,BUF,NYG,BAL,WSH,LAR,DAL,NO,KC,TB,MIA
13.574879779601003,TEN,GB,LAC,PHI,NE,IND,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,KC,SEA,TB
13.569339451363723,TEN,LAR,SEA,PIT,BUF,GB,CIN,PHI,LAC,NYG,BAL,MIA,MIN,DAL,NO,KC,TB,IND
13.547262944574467,TEN,LAR,LAC,PHI,MIN,GB,CIN,DEN,BUF,TB,BAL,MIA,CLE,DAL,NO,KC,SEA,IND
13.546780227529334,WSH,GB,LAC,PHI,MIN,IND,CIN,DEN,BUF,KC,BAL,DAL,LAR,TEN,NO,SF,TB,MIA
13.535609961740988,SF,LAR,LAC,GB,TB,IND,OAK,DEN,CIN,KC,BUF,WSH,MIN,DAL,NO,BAL,SEA,MIA
13.527697331341976,TEN,GB,SEA,PHI,NE,IND,CIN,DEN,LAC,KC,BUF,MIA,MIN,DAL,WSH,BAL,TB,NO
13.527302256801013,WSH,SF,MIN,PHI,GB,IND,CIN,DEN,LAC,KC,BUF,DAL,LAR,TEN,NO,BAL,TB,MIA
13.525593605496928,NO,LAR,LAC,PHI,TB,IND,CIN,DAL,ARI,KC,BUF,WSH,MIN,TEN,GB,BAL,SEA,MIA
13.502353752821787,WSH,GB,LAC,PIT,MIN,IND,CIN,DAL,ARI,NYG,BUF,MIA,LAR,TEN,NO,KC,TB,PHI
13.485451248245592,WSH,DEN,MIN,LAC,GB,IND,OAK,PHI,CIN,KC,BUF,DAL,LAR,TEN,NO,BAL,TB,MIA
13.470373657539797,NO,SF,LAC,PHI,BUF,IND,DEN,MIN,CIN,KC,BAL,WSH,LAR,DAL,GB,TEN,TB,MIA
13.468518500796632,WSH,LAR,LAC,PHI,TB,GB,CIN,DEN,KC,NYG,BUF,DAL,MIN,ARI,NO,TEN,BAL,IND
13.465343174943502,TEN,LAR,SEA,PHI,GB,IND,CIN,DEN,LAC,NYG,BUF,WSH,MIN,DAL,KC,BAL,TB,MIA
13.458949384572708,TEN,LAR,SEA,PHI,NO,GB,CIN,DEN,LAC,KC,BUF,MIA,CLE,DAL,WSH,MIN,TB,IND
13.45605679797465,WSH,DEN,LAC,GB,SF,IND,CIN,PHI,BUF,KC,NE,DAL,MIN,TEN,NO,BAL,TB,MIA
13.431825834650803,TEN,LAR,MIN,PHI,NO,GB,CIN,DEN,LAC,NYG,BAL,DAL,CLE,BUF,WSH,KC,TB,IND
13.354869035097472,TEN,GB,SEA,LAC,NE,IND,DEN,PHI,CIN,NYG,BUF,MIA,MIN,DAL,NO,BAL,KC,TB
13.334515956688763,WSH,DEN,LAC,GB,MIN,IND,OAK,PHI,CIN,TB,BUF,DAL,LAR,TEN,NO,KC,BAL,MIA
